City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Victoria,HK,2022-06-17 01:43:34,22.2855,114.1577,86.38,78,100,18.01,overcast clouds
61,Butaritari,KI,2022-06-17 01:38:29,3.0707,172.7902,82.71,75,20,14.07,light rain
62,Bluff,NZ,2022-06-17 01:38:31,-46.6,168.3333,46.8,65,13,1.72,few clouds
63,Longyearbyen,SJ,2022-06-17 01:37:44,78.2186,15.6401,39.04,81,75,9.22,broken clouds
64,Vila Franca Do Campo,PT,2022-06-17 01:42:45,37.7167,-25.4333,69.19,93,14,4.43,few clouds
65,Bambous Virieux,MU,2022-06-17 01:38:41,-20.3428,57.7575,70.21,88,20,1.14,few clouds
66,Shimoda,JP,2022-06-17 01:39:59,34.6667,138.95,73.76,84,100,12.68,overcast clouds
67,Kodiak,US,2022-06-17 01:39:36,57.79,-152.4072,56.71,72,100,3.44,overcast clouds
68,Lubango,AO,2022-06-17 01:47:47,-14.9172,13.4925,55.35,16,36,0.38,scattered clouds
69,Nemuro,JP,2022-06-17 01:47:47,43.3236,145.575,54.03,96,89,3.47,overcast clouds
70,Hilo,US,2022-06-17 01:38:46,19.7297,-155.09,82.13,69,100,9.22,overcast clouds
71,Victor Harbor,AU,2022-06-17 01:47:48,-35.5667,138.6167,56.68,70,90,2.28,overcast clouds
72,Berlevag,NO,2022-06-17 01:47:48,70.8578,29.0864,39.2,81,100,9.22,overcast clouds
73,Bredasdorp,ZA,2022-06-17 01:34:15,-34.5322,20.0403,50.94,45,89,5.59,overcast clouds
74,Kaitangata,NZ,2022-06-17 01:39:17,-46.2817,169.8464,46.26,62,10,3.24,clear sky
75,Alice Springs,AU,2022-06-17 01:40:06,-23.7,133.8833,63.95,39,0,6.91,clear sky
76,Nantucket,US,2022-06-17 01:39:11,41.2835,-70.0995,64.99,88,100,13.8,overcast clouds
77,Geraldton,AU,2022-06-17 01:44:04,-28.7667,114.6,66.61,94,100,13.8,heavy intensity rain
78,Bethel,US,2022-06-17 01:38:53,41.3712,-73.414,67.5,89,100,6.91,overcast clouds
79,Atuona,PF,2022-06-17 01:35:21,-9.8,-139.0333,78.13,68,0,19.77,clear sky
80,Coquimbo,CL,2022-06-17 01:39:26,-29.9533,-71.3436,53.33,87,0,5.75,clear sky
81,Cururupu,BR,2022-06-17 01:47:50,-1.8283,-44.8683,73.89,92,39,2.93,scattered clouds
82,Puerto Ayora,EC,2022-06-17 01:42:06,-0.7393,-90.3518,71.55,93,53,7.0,broken clouds
83,Chahal,GT,2022-06-17 01:47:50,15.75,-89.5667,71.22,98,100,2.37,overcast clouds
84,Kapaa,US,2022-06-17 01:38:34,22.0752,-159.319,82.38,87,75,16.11,light rain
85,Gawler,AU,2022-06-17 01:43:45,-34.6,138.7333,59.47,84,80,0.87,broken clouds
86,Uyuni,BO,2022-06-17 01:47:51,-20.4597,-66.825,35.73,26,7,23.24,clear sky
87,Danielskuil,ZA,2022-06-17 01:47:52,-28.1887,23.5395,42.15,37,1,11.21,clear sky
88,Kununurra,AU,2022-06-17 01:42:38,-15.7667,128.7333,78.78,21,6,17.27,clear sky
89,Gevrai,IN,2022-06-17 01:47:52,19.2667,75.75,78.93,71,100,1.97,moderate rain
90,Albany,US,2022-06-17 01:38:10,42.6001,-73.9662,68.41,83,100,7.81,overcast clouds
